iter	RMSE
0	1.066109682
1	1.03084204
2	0.9949081725
3	0.9623080047
4	0.9313579267
5	0.901371965
6	0.8726422557
7	0.8463824579
8	0.8214249904
9	0.7984816258
10	0.7767599632
11	0.7566814349
12	0.7383008355
13	0.7204619505
14	0.7031665234
15	0.6869404954
16	0.6724330682
17	0.6597052988
18	0.6461282003
19	0.6340397759
20	0.6223722003
21	0.6118747293
22	0.6018823974
23	0.5915735464
24	0.5829951534
25	0.5745594621
26	0.5669616245
27	0.5603995226
28	0.5537270718
29	0.5471978136
30	0.541304652
31	0.5355903277
32	0.5304348193
33	0.5254300369
34	0.5217269558
35	0.5176920874
36	0.5142722513
37	0.5105146492
38	0.5071680919
39	0.5043434401
40	0.5014910208
41	0.4981597943
42	0.4956720863
43	0.4930178014
44	0.489126939
45	0.4855377195
46	0.4829408089
47	0.4793685824
48	0.4758610824
49	0.4729074919
50	0.4708480037
51	0.4685234139
52	0.4655673412
53	0.463390857
54	0.4611445354
55	0.459158218
56	0.4574240755
57	0.4558705427
58	0.4542039183
59	0.4531329968
60	0.4518209952
61	0.4502337449
62	0.4485352825
63	0.446871917
64	0.44576966
65	0.4446775537
66	0.4434518375
67	0.4422468325
68	0.4412864138
69	0.4404258155
70	0.4393009895
71	0.4384786734
72	0.4376471847
73	0.4368043209
74	0.4353590523
75	0.4342744701
76	0.4331004799
77	0.4324562704
78	0.431873198
79	0.430881812
80	0.430451137
81	0.4296139017
82	0.4288584723
83	0.4282324116
84	0.427446755
85	0.42640115
86	0.4257202498
87	0.4251988141
88	0.4238967919
89	0.4233819948
90	0.4226142879
91	0.4219910899
92	0.4215596359
93	0.4212566645
94	0.4204251764
95	0.4199446434
96	0.4193142942
97	0.4187500505
98	0.4176112204
99	0.4171851432
100	0.4163237847
101	0.4158875051
102	0.4152440615
103	0.4147274824
104	0.4140245232
105	0.413358237
106	0.4124551051
107	0.4120975357
108	0.4114477713
109	0.4112029933
110	0.4109780666
111	0.410308637
112	0.4097757541
113	0.4090424379
114	0.4080660997
115	0.4077512754
116	0.4076908681
117	0.4070545443
118	0.4067624025
119	0.4063590879
120	0.4059361004
121	0.4052838642
122	0.4047267734
123	0.4038153487
124	0.4033817984
125	0.4022376087
126	0.4017918185
127	0.4013426101
128	0.4009785242
129	0.4006430481
130	0.3998242804
131	0.3993765059
132	0.3989774574
133	0.3987275427
134	0.3984061125
135	0.397918659
136	0.3977980836
137	0.3975728463
138	0.3973208354
139	0.396929085
140	0.3967615692
141	0.3961587916
142	0.3957933851
143	0.3950753841
144	0.3947468482
145	0.3941462708
146	0.3938379545
147	0.3933073752
148	0.392929697
149	0.3926174035
150	0.3922738151
151	0.3918300217
152	0.3915374917
153	0.3914394378
154	0.3909233617
155	0.390603356
156	0.3902941363
157	0.3898706642
158	0.3895009634
159	0.3892221928
160	0.3889687077
161	0.3888323651
162	0.3885844132
163	0.3880884587
164	0.3874217717
165	0.3872205959
166	0.3871290248
167	0.3867764737
168	0.3861274558
169	0.3858518037
170	0.3856806387
171	0.3854662433
172	0.3851494536
173	0.3847471056
174	0.3845715219
175	0.3843420659
176	0.384069539
177	0.3837977331
178	0.3831526961
179	0.3824988632
180	0.3822224245
181	0.3817405522
182	0.3814279429
183	0.3812897666
184	0.3808176796
185	0.3805639204
186	0.3803331796
187	0.3799808875
188	0.379572958
189	0.379301991
190	0.3789631679
191	0.3787573772
192	0.3785030761
193	0.37818063
194	0.3778382727
195	0.3776092645
196	0.377352852
197	0.376986806
198	0.3768425554
199	0.3765649809
200	0.3763538231
201	0.3761199129
202	0.3758908791
203	0.3752723998
204	0.3748571556
205	0.3743646504
206	0.3739995158
207	0.3735847312
208	0.3731837018
209	0.3730112555
210	0.372912783
211	0.3726415807
212	0.3719353898
213	0.371371538
214	0.3711114873
215	0.3709020492
216	0.370763124
217	0.3703336031
218	0.3699300362
219	0.3696570537
220	0.3691666006
221	0.3689618526
222	0.368692564
223	0.3682945612
224	0.3681621756
225	0.3679409102
226	0.3678183237
227	0.3676246556
228	0.3671457743
229	0.3666690486
230	0.3664268358
231	0.3661395269
232	0.3660105024
233	0.3654214617
234	0.3650781399
235	0.3649448627
236	0.3647734445
237	0.3646003139
238	0.3644762358
239	0.3643449914
240	0.3637740945
241	0.36321752
242	0.3629996923
243	0.362925903
244	0.3628279471
245	0.3623561513
246	0.3622452706
247	0.3621686452
248	0.3620985834
249	0.3620006458
250	0.3619460788
251	0.3616323703
252	0.3615020874
253	0.3613923918
254	0.3609148394
255	0.3608049202
256	0.3602463635
257	0.3598571194
258	0.3596213994
259	0.3595034931
260	0.3591649177
261	0.3587478988
262	0.3584720357
263	0.3581335909
264	0.3580321875
265	0.3578565377
266	0.3574195137
267	0.3569753593
268	0.3569183625
269	0.3565355013
270	0.3563718003
271	0.3562002706
272	0.3559233624
273	0.3558296158
274	0.3557507079
275	0.3556891919
276	0.3552442859
277	0.3549683032
278	0.3545781335
279	0.3542205716
280	0.3539409984
281	0.3537633382
282	0.3537113401
283	0.3533637495
284	0.3533101984
285	0.3530715483
286	0.3530152942
287	0.3529364715
288	0.3526066365
289	0.3522870342
290	0.3519883621
291	0.351733014
292	0.3515156362
293	0.3514428834
294	0.3512127388
295	0.351142941
296	0.3508879072
297	0.3505088379
298	0.3503349608
299	0.350009664
300	0.3497705569
301	0.3496818236
302	0.3492767532
303	0.3489914545
304	0.3487194455
305	0.3485498108
306	0.3483889029
307	0.3481255907
308	0.3480791506
309	0.3478631595
310	0.3476630538
311	0.3474017657
312	0.3473682706
313	0.347294104
314	0.3470905377
315	0.3468737707
316	0.3466983691
317	0.3466425274
318	0.3466002449
319	0.3463499704
320	0.3462008134
321	0.3459977852
322	0.3458571118
323	0.3458087631
324	0.3455122688
325	0.3452604579
326	0.3450409578
327	0.3446256028
328	0.3442372698
329	0.3440674648
330	0.3440275356
331	0.3438087678
332	0.343761729
333	0.3436507366
334	0.3432936148
335	0.3431368171
336	0.342998384
337	0.3428875574
338	0.3428438364
339	0.3428045775
340	0.3427676151
341	0.3424866882
342	0.3423525798
343	0.342327736
344	0.342094805
345	0.3417972199
346	0.3415962794
347	0.3412238131
348	0.3408717807
349	0.3407581421
350	0.3405237732
351	0.3405049625
