iter	Passed	Remaining
0	153	153245
1	188	94070
2	221	73591
3	254	63470
4	288	57485
5	322	53352
6	356	50520
7	390	48427
8	427	47126
9	462	45803
10	495	44511
11	528	43508
12	561	42658
13	595	41937
14	628	41284
15	661	40707
16	694	40183
17	723	39456
18	757	39089
19	790	38732
20	822	38336
21	855	38050
22	888	37738
23	922	37509
24	957	37333
25	990	37105
26	1022	36849
27	1054	36615
28	1087	36402
29	1120	36214
30	1153	36041
31	1184	35844
32	1218	35705
33	1251	35548
34	1275	35168
35	1309	35062
36	1337	34819
37	1370	34698
38	1404	34604
39	1436	34480
40	1469	34362
41	1502	34265
42	1540	34279
43	1577	34279
44	1612	34223
45	1649	34204
46	1685	34182
47	1721	34145
48	1756	34085
49	1789	33997
50	1822	33908
51	1855	33831
52	1889	33762
53	1923	33695
54	1961	33693
55	1998	33683
56	2033	33640
57	2069	33618
58	2105	33584
59	2140	33531
60	2174	33478
61	2208	33419
62	2241	33332
63	2274	33258
64	2307	33199
65	2343	33168
66	2375	33075
67	2411	33048
68	2446	33015
69	2483	33000
70	2520	32975
71	2549	32857
72	2581	32785
73	2615	32729
74	2649	32676
75	2682	32618
76	2717	32569
77	2750	32516
78	2784	32462
79	2816	32391
80	2850	32346
81	2885	32304
82	2918	32246
83	2953	32204
84	2986	32152
85	3019	32094
86	3053	32039
87	3086	31992
88	3120	31939
89	3154	31895
90	3186	31833
91	3219	31776
92	3253	31729
93	3286	31678
94	3320	31627
95	3351	31563
96	3384	31509
97	3417	31450
98	3450	31406
99	3483	31353
100	3517	31306
101	3550	31257
102	3582	31199
103	3614	31138
104	3647	31088
105	3679	31033
106	3710	30967
107	3742	30912
108	3775	30862
109	3799	30740
110	3818	30584
111	3851	30536
112	3884	30490
113	3917	30448
114	3951	30407
115	3983	30353
116	4001	30201
117	4034	30154
118	4067	30111
119	4100	30071
120	4132	30023
121	4166	29982
122	4199	29939
123	4231	29893
124	4264	29853
125	4297	29807
126	4328	29753
127	4360	29702
128	4393	29664
129	4427	29632
130	4461	29592
131	4493	29550
132	4526	29505
133	4558	29462
134	4590	29411
135	4623	29375
136	4649	29288
137	4682	29247
138	4715	29207
139	4747	29165
140	4780	29122
141	4813	29084
142	4845	29036
143	4878	29001
144	4911	28959
145	4944	28924
146	4976	28879
147	5010	28842
148	5044	28813
149	5078	28777
150	5111	28739
151	5144	28702
152	5178	28669
153	5206	28599
154	5238	28558
155	5272	28525
156	5304	28484
157	5339	28452
158	5371	28413
159	5404	28371
160	5437	28334
161	5461	28249
162	5493	28210
163	5526	28170
164	5559	28135
165	5594	28108
166	5627	28071
167	5661	28038
168	5693	27997
169	5726	27958
170	5759	27919
171	5791	27882
172	5824	27844
173	5858	27809
174	5890	27770
175	5923	27731
176	5955	27690
177	5989	27659
178	6023	27626
179	6057	27593
180	6089	27556
181	6123	27521
182	6155	27483
183	6188	27442
184	6221	27407
185	6252	27364
186	6286	27331
187	6319	27295
188	6352	27259
189	6383	27215
190	6417	27183
191	6451	27148
192	6484	27113
193	6516	27073
194	6548	27032
195	6581	26997
196	6615	26964
197	6650	26937
198	6684	26907
199	6719	26878
200	6755	26852
201	6787	26815
202	6821	26782
203	6853	26742
204	6886	26705
205	6920	26674
206	6953	26636
207	6987	26606
208	7024	26584
209	7058	26551
210	7091	26516
211	7124	26482
212	7163	26467
213	7210	26484
214	7246	26456
215	7277	26415
216	7311	26381
217	7342	26340
218	7374	26298
219	7406	26259
220	7437	26217
221	7470	26178
222	7501	26137
223	7532	26096
224	7565	26057
225	7596	26017
226	7628	25977
227	7660	25939
228	7691	25896
229	7722	25854
230	7754	25816
231	7786	25777
232	7819	25740
233	7851	25701
234	7883	25664
235	7916	25627
236	7949	25592
237	7981	25553
238	8013	25514
239	8046	25479
240	8078	25443
241	8114	25415
242	8168	25447
243	8221	25473
244	8262	25462
245	8301	25445
246	8334	25407
247	8366	25370
248	8399	25332
249	8430	25291
250	8461	25250
251	8492	25207
252	8524	25168
253	8559	25138
254	8593	25105
255	8626	25072
256	8658	25033
257	8691	24997
258	8724	24961
259	8757	24926
260	8789	24887
261	8823	24852
262	8855	24815
263	8893	24793
264	8941	24799
265	8984	24791
266	9018	24758
267	9052	24725
268	9084	24687
269	9117	24650
270	9149	24612
271	9181	24574
272	9214	24538
273	9246	24499
274	9278	24461
275	9310	24424
276	9343	24386
277	9375	24349
278	9408	24314
279	9440	24275
280	9472	24238
281	9504	24199
282	9536	24160
283	9569	24124
284	9600	24086
285	9631	24045
286	9662	24005
287	9695	23970
288	9727	23932
289	9758	23892
290	9789	23852
291	9823	23819
292	9856	23782
293	9887	23743
294	9919	23705
295	9952	23671
296	9984	23632
297	10015	23592
298	10047	23555
299	10078	23515
300	10109	23476
301	10141	23439
302	10172	23400
303	10204	23363
304	10236	23325
305	10265	23281
306	10295	23241
307	10326	23201
308	10357	23161
309	10388	23122
310	10420	23086
311	10453	23051
312	10484	23012
313	10515	22972
314	10545	22931
315	10576	22892
316	10608	22856
317	10640	22819
318	10671	22782
319	10703	22744
320	10735	22708
321	10766	22669
322	10796	22628
323	10828	22593
324	10858	22552
325	10889	22514
326	10921	22477
327	10952	22439
328	10984	22403
329	11016	22367
330	11047	22329
331	11079	22293
332	11111	22256
333	11142	22218
334	11172	22179
335	11206	22145
336	11237	22108
337	11269	22071
338	11299	22032
339	11330	21995
340	11360	21955
341	11393	21920
342	11425	21885
343	11455	21845
344	11486	21807
345	11518	21771
346	11548	21733
347	11578	21693
348	11610	21656
349	11641	21620
350	11672	21582
351	11704	21546
352	11735	21508
353	11766	21472
354	11797	21435
355	11829	21399
356	11859	21359
357	11891	21324
358	11923	21288
359	11953	21251
360	11986	21217
361	12018	21182
362	12048	21143
363	12079	21105
364	12111	21070
365	12141	21032
366	12175	20999
367	12205	20961
368	12236	20924
369	12268	20888
370	12300	20854
371	12332	20818
372	12364	20783
373	12394	20746
374	12427	20712
375	12459	20677
376	12491	20643
377	12531	20620
378	12566	20590
379	12597	20554
380	12629	20518
381	12659	20480
382	12691	20444
383	12722	20409
384	12753	20372
385	12783	20334
386	12816	20301
387	12846	20262
388	12876	20225
389	12909	20191
390	12940	20155
391	12971	20118
392	13002	20082
393	13033	20046
394	13064	20010
395	13096	19975
396	13128	19940
397	13158	19902
398	13188	19865
399	13221	19832
400	13252	19796
401	13283	19759
402	13315	19725
403	13346	19689
404	13378	19654
405	13410	19620
406	13441	19584
407	13474	19551
408	13511	19523
409	13541	19486
410	13573	19452
411	13606	19418
412	13637	19382
413	13667	19345
414	13698	19309
415	13729	19273
416	13760	19237
417	13790	19201
418	13822	19166
419	13852	19129
420	13883	19094
421	13916	19060
422	13948	19026
423	13979	18990
424	14011	18956
425	14041	18919
426	14072	18884
427	14104	18850
428	14134	18813
429	14165	18777
430	14196	18741
431	14227	18706
432	14258	18671
433	14289	18636
434	14321	18600
435	14351	18565
436	14383	18530
437	14414	18495
438	14447	18462
439	14477	18426
440	14509	18391
441	14539	18354
442	14570	18319
443	14601	18284
444	14632	18249
445	14662	18213
446	14694	18179
447	14725	18143
448	14757	18109
449	14788	18075
450	14821	18042
451	14856	18012
452	14891	17981
453	14925	17949
454	14960	17919
455	14992	17885
456	15022	17848
457	15054	17815
458	15087	17782
459	15119	17749
460	15152	17716
461	15182	17680
462	15214	17645
463	15245	17611
464	15280	17580
465	15313	17548
466	15347	17516
467	15381	17484
468	15412	17450
469	15444	17415
470	15475	17381
471	15506	17346
472	15537	17310
473	15567	17275
474	15599	17241
475	15631	17207
476	15662	17173
477	15693	17138
478	15725	17103
479	15761	17075
480	15795	17043
481	15828	17010
482	15859	16976
483	15891	16942
484	15923	16908
485	15955	16874
486	15986	16840
487	16018	16806
488	16051	16773
489	16083	16739
490	16114	16705
491	16145	16670
492	16167	16626
493	16199	16593
494	16230	16558
495	16264	16526
496	16296	16493
497	16330	16461
498	16365	16431
499	16405	16405
500	16441	16375
501	16476	16345
502	16507	16310
503	16539	16276
504	16569	16241
505	16601	16208
506	16633	16174
507	16666	16141
508	16697	16107
509	16729	16073
510	16761	16040
511	16795	16008
512	16827	15974
513	16861	15942
514	16897	15912
515	16934	15884
516	16970	15854
517	17005	15823
518	17041	15793
519	17074	15761
520	17106	15727
521	17139	15694
522	17171	15661
523	17203	15627
524	17236	15595
525	17271	15564
526	17307	15534
527	17343	15504
528	17379	15473
529	17412	15441
530	17445	15408
531	17477	15375
532	17510	15341
533	17542	15308
534	17575	15275
535	17607	15242
536	17639	15208
537	17670	15174
538	17701	15139
539	17733	15106
540	17765	15073
541	17797	15039
542	17830	15006
543	17862	14973
544	17894	14939
545	17926	14906
546	17959	14873
547	17990	14839
548	18022	14805
549	18055	14772
550	18089	14740
551	18122	14707
552	18154	14674
553	18187	14641
554	18219	14608
555	18251	14574
556	18283	14541
557	18310	14504
558	18342	14470
559	18374	14437
560	18406	14403
561	18438	14370
562	18470	14337
563	18501	14302
564	18533	14269
565	18564	14235
566	18597	14202
567	18629	14169
568	18663	14137
569	18695	14103
570	18727	14070
571	18760	14037
572	18792	14004
573	18824	13970
574	18857	13938
575	18889	13904
576	18921	13871
577	18953	13838
578	18984	13803
579	19018	13771
580	19050	13738
581	19082	13705
582	19114	13672
583	19148	13639
584	19181	13607
585	19212	13573
586	19243	13539
587	19274	13505
588	19306	13472
589	19339	13439
590	19371	13405
591	19404	13373
592	19437	13340
593	19470	13308
594	19503	13275
595	19536	13242
596	19567	13208
597	19598	13175
598	19630	13141
599	19662	13108
600	19694	13075
601	19726	13041
602	19758	13008
603	19791	12975
604	19824	12943
605	19856	12910
